"name","coefficient"
"(Intercept)",16.6871198792922
"cg22704775_TC11",-0.156064921293924
"cg23873654_BC11",18.6027467926083
"cg20418529_BC11",0.368106823469509
"cg19802390_BC11",-0.800854563029421
"cg22285878_TC11",4.32187950711491
"cg00976097_TC11",-1.98950087803094
"cg06644428_TC11",10.0128506836211
"cg05575921_BC11",37.4751861898411
"cg21566642_BC11",35.6919020172424
"cg05730385_BC11",-0.356261550938394
"cg23001725_BC11",-5.48079658235033
"cg01182690_BC11",-12.7096444403634
"cg21450708_TC11",-5.56972811917784
"cg19035254_TC11",0.267748828749222
"cg22842882_TC11",2.18559550383179
"cg02295369_TC11",1.78710723090977
"cg01411823_TC11",-4.46408382810006
"cg26076054_BC11",-0.0194751201894328
"cg22151216_TC11",1.20948500197068
"cg04186471_BC11",-5.31830372994879
"cg26865747_BC11",0.692368061941762
"cg09414673_TC11",-1.07207086854399
"cg15572907_BC11",0.665051837809067
"cg01861349_TC11",-1.18943554510043
"cg16249894_TC11",13.9139276401246
"cg24998527_BC11",-0.211911627688674
"cg23894320_TC11",2.16971862002843
"cg25485055_BC11",-0.183552113775367
"cg02400092_TC11",-1.60057353722286
"cg12289509_TC11",-8.23990255770743
"cg16806794_TC11",-1.36890433646387
"cg17833184_TC11",-1.22439160170759
"cg15013527_TC11",-0.096528304680892
"cg27094173_TC11",-7.82668803055154
"cg06901189_TC11",6.39247029311143
"cg02846715_TC11",-1.47527755858276
"cg25224222_TC11",10.1476622075327
"cg06602723_TC11",-2.09217583598341
"cg10118002_TC11",53.3392174438322
"cg19325132_TC21",-0.364755889028438
"cg07813254_TC21",-0.510690273859544
"cg05156137_TC21",-3.99597455596814
"cg03636183_TC21",28.8473811622887
"cg22141781_BC21",0.910122280675472
"cg01693108_BC21",-8.10436693632989
"cg13734401_BC21",-0.592916709418572
"cg26921969_TC21",0.172760520447521
"cg27041096_BC21",-0.174096737948777
"cg23824815_TC21",-11.4024451254007
"cg02218260_TC21",-0.559756864092204
"cg06339657_TC21",-2.54890362556876
"cg21200703_BC21",0.000381852861407242
"cg23389651_BC21",-9.06322315321865
"cg12547807_BC21",1.16060214824674
"cg25809905_TC21",-4.01535104175
"cg05019001_BC21",0.491046398913168
"cg20063906_BC21",-11.4443104127297
"cg12825252_TC21",13.3374398105548
"cg18977436_BC21",-5.25068483420721
"cg22919728_TC21",-1.44813902185176
"cg11207515_BC21",-0.563161436410476
"cg22398616_BC21",-0.73499992461318
"cg06946797_TC21",3.39046381353262
"cg19859270_BC21",35.3346299279421
"cg24646513_TC21",2.76631526638627
"cg16297030_TC21",-4.93939151329797
"cg11498156_TC21",-1.01449697802501
"cg05168580_TC21",-1.93738356072808
"cg02273647_BC21",0.465876625821264
"cg03115379_BC21",0.37254422005593
"cg12308146_TC21",-7.42897896045381
"cg21056723_BC21",10.5128796528153
"cg01121830_TC21",0.625499217237826
"cg01148781_BC21",0.43545143668309
"cg05782651_TC21",0.00762731563498936
"cg08269653_BC21",0.0807816616621393
"cg27445177_BC21",-5.50965438432163
"cg06775523_TC21",-0.00305080998163141
"cg01087775_TC21",-0.316458571874027
"cg01255894_BC21",8.15030982650234
